"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-01",,"67","51",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-02",,"63","44",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-03",,"62","41",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-04",,"63","44",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-05",,"68","41",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-06",,"65","40",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-07",,"59","39",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-08",,"61","34",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-09",,"68","39",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-10",,"65","44",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-11",,"64","36",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-12",,"59","41",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-13",,"63","39",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-14",,"69","38",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-15",,"74","44",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-16",,"83","45",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-17",,"77","54",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-18",,"81","51",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-19",,"67","54",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-20",,"71","50",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-21",,"69","46",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-22",,"72","45",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-23",,"62","46",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-24",,"64","48",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-25",,"56","45",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-26",,"57","39",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-27",,"55","46",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-28",,"64","44",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-29",,"64","50",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-30",,"64","41",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-01-31",,"68","41",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-01",,"70","53",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-02",,"70","42",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-03",,"75","46",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-04",,"71","53",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-05",,"72","47",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-06",,"75","49",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-07",,"74","43",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-08",,"69","43",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-09",,"71","51",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-10",,"76","45",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-11",,"72","48",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-12",,"79","54",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-13",,"76","53",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-14",,"71","56",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-15",,"68","45",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-16",,"75","48",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-17",,"69","50",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-18",,"65","49",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-19",,"68","44",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-20",,"72","43",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-21",,"71","51",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-22",,"77","52",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-23",,"82","47",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-24",,"81","56",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-25",,"68","51",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-26",,"69","43",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-27",,"71","56",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-02-28",,"66","49",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-01",,"69","40",
"USW00053139","STOVEPIPE WELLS 1 SW, CA US","2021-03-02",,"75","46",
